[20260731.013314.015-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=20,n=1,mode=s,dt=519319,acq=518713,wak=45,mrq=15,drq=37,upd=9,enu=8,rem=8,dmg=18,snd=41,tot=130,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=118
[20260731.013314.546-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=21,n=1,mode=s,dt=531109,acq=530589,wak=58,mrq=15,drq=39,upd=10,enu=8,rem=8,dmg=27,snd=54,tot=156,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=78
[20260731.013315.228-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=22,n=1,mode=s,dt=681871,acq=11118,wak=19304,mrq=10,drq=27,upd=396,enu=25614,rem=13,dmg=20,snd=44,tot=26123,dr=1,mr=0,mrmax=0,area=553446,win=1,iwn=3,wev=1,sends=2,skip=5,log=88
[20260731.013315.244-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=23,n=1,mode=s,dt=15654,acq=15259,wak=43,mrq=12,drq=24,upd=1485,enu=17,rem=20,dmg=89,snd=60,tot=1707,dr=1,mr=0,mrmax=0,area=555611,win=1,iwn=2,wev=2,sends=2,skip=0,log=76
[20260731.013315.260-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=24,n=1,mode=s,dt=16720,acq=16086,wak=105,mrq=32,drq=42,upd=407,enu=15,rem=14,dmg=24,snd=47,tot=557,dr=1,mr=0,mrmax=0,area=545792,win=1,iwn=1,wev=1,sends=2,skip=0,log=91
[20260731.013315.275-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=25,n=1,mode=s,dt=15148,acq=14516,wak=22,mrq=21,drq=42,upd=487,enu=20,rem=17,dmg=44,snd=82,tot=704,dr=1,mr=0,mrmax=0,area=546448,win=1,iwn=1,wev=1,sends=2,skip=0,log=82
[20260731.013315.293-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=26,n=1,mode=s,dt=17755,acq=17167,wak=69,mrq=16,drq=38,upd=586,enu=12,rem=12,dmg=34,snd=78,tot=756,dr=1,mr=0,mrmax=0,area=547104,win=1,iwn=1,wev=1,sends=2,skip=0,log=91
[20260731.013315.308-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=27,n=1,mode=s,dt=15040,acq=14535,wak=32,mrq=30,drq=52,upd=2015,enu=77,rem=26,dmg=41,snd=70,tot=2305,dr=1,mr=0,mrmax=0,area=547104,win=1,iwn=1,wev=1,sends=2,skip=0,log=80
[20260731.013315.352-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=28,n=1,mode=s,dt=43769,acq=42956,wak=45,mrq=22,drq=126,upd=1432,enu=14,rem=22,dmg=26,snd=53,tot=1606,dr=1,mr=0,mrmax=0,area=557096,win=1,iwn=2,wev=2,sends=2,skip=0,log=215
[20260731.013315.371-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=29,n=1,mode=s,dt=18721,acq=18097,wak=117,mrq=23,drq=48,upd=377,enu=27,rem=18,dmg=43,snd=76,tot=605,dr=1,mr=0,mrmax=0,area=547580,win=1,iwn=1,wev=1,sends=2,skip=0,log=101
[20260731.013315.391-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=30,n=1,mode=s,dt=20785,acq=15182,wak=4959,mrq=24,drq=52,upd=8646,enu=38,rem=37,dmg=47,snd=47,tot=8890,dr=1,mr=0,mrmax=0,area=540702,win=1,iwn=2,wev=2,sends=2,skip=0,log=91
[20260731.013315.416-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=31,n=1,mode=s,dt=24886,acq=24142,wak=188,mrq=8,drq=65,upd=1835,enu=31,rem=27,dmg=17,snd=29,tot=1973,dr=1,mr=0,mrmax=0,area=574376,win=1,iwn=3,wev=3,sends=2,skip=0,log=101
[20260731.013315.430-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=32,n=1,mode=s,dt=14181,acq=13872,wak=27,mrq=8,drq=21,upd=1045,enu=26,rem=23,dmg=17,snd=36,tot=1176,dr=1,mr=0,mrmax=0,area=547398,win=1,iwn=3,wev=3,sends=2,skip=0,log=63
[20260731.013315.449-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=33,n=1,mode=s,dt=18188,acq=17769,wak=46,mrq=7,drq=26,upd=265,enu=12,rem=14,dmg=45,snd=52,tot=445,dr=1,mr=0,mrmax=0,area=547214,win=1,iwn=1,wev=1,sends=2,skip=0,log=67
[20260731.013315.463-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=34,n=1,mode=s,dt=14587,acq=14079,wak=61,mrq=15,drq=38,upd=686,enu=15,rem=17,dmg=28,snd=57,tot=857,dr=1,mr=0,mrmax=0,area=547214,win=1,iwn=1,wev=1,sends=2,skip=0,log=79
[20260731.013315.481-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=35,n=1,mode=s,dt=17266,acq=16715,wak=22,mrq=18,drq=25,upd=426,enu=13,rem=14,dmg=19,snd=41,tot=549,dr=1,mr=0,mrmax=0,area=546376,win=1,iwn=1,wev=1,sends=2,skip=0,log=84
[20260731.013315.496-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=36,n=1,mode=s,dt=14968,acq=14539,wak=42,mrq=16,drq=27,upd=452,enu=164,rem=16,dmg=18,snd=36,tot=722,dr=1,mr=0,mrmax=0,area=547028,win=1,iwn=1,wev=1,sends=2,skip=0,log=61
[20260731.013315.512-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=37,n=1,mode=s,dt=16349,acq=15975,wak=54,mrq=14,drq=32,upd=416,enu=13,rem=12,dmg=18,snd=42,tot=535,dr=1,mr=0,mrmax=0,area=546376,win=1,iwn=1,wev=1,sends=2,skip=0,log=64
[20260731.013315.543-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=38,n=1,mode=s,dt=31538,acq=31110,wak=48,mrq=17,drq=35,upd=973,enu=18,rem=23,dmg=17,snd=44,tot=1111,dr=3,mr=0,mrmax=0,area=556010,win=1,iwn=2,wev=2,sends=2,skip=0,log=67
