[20260731.195043.354-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=1,n=1,mode=s,dt=0,acq=409,wak=6142,mrq=11,drq=97,upd=21,enu=6784,rem=16,dmg=12,snd=0,tot=6940,dr=1,mr=0,mrmax=0,area=4953600,win=0,iwn=2,wev=0,sends=0,skip=0,log=0
[20260731.195053.812-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=2,n=1,mode=s,dt=10444428,acq=651282,wak=12,mrq=8,drq=7495,upd=98,enu=78528,rem=56,dmg=2902,snd=50,tot=81674,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=12,wev=8,sends=2,skip=1,log=76
[20260731.195053.837-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=3,n=1,mode=s,dt=26391,acq=22998,wak=54,mrq=16,drq=42,upd=3,enu=30,rem=6,dmg=1430,snd=32,tot=1568,dr=1,mr=0,mrmax=0,area=2654820,win=1,iwn=0,wev=0,sends=2,skip=1,log=44
[20260731.195053.883-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=4,n=1,mode=s,dt=45472,acq=9992,wak=37,mrq=4,drq=15,upd=19,enu=168,rem=13,dmg=1907,snd=124,tot=2284,dr=1,mr=0,mrmax=0,area=51280,win=1,iwn=1,wev=2,sends=4,skip=1,log=238
[20260731.195053.919-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=5,n=1,mode=s,dt=36111,acq=33534,wak=100,mrq=53,drq=39,upd=8,enu=6,rem=8,dmg=2132,snd=60,tot=2290,dr=2,mr=0,mrmax=0,area=2545670,win=1,iwn=0,wev=0,sends=2,skip=0,log=148
[20260731.195053.970-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=6,n=1,mode=s,dt=51771,acq=41775,wak=48,mrq=12,drq=26,upd=7467,enu=14,rem=13,dmg=1613,snd=102,tot=9257,dr=2,mr=0,mrmax=0,area=2489525,win=1,iwn=1,wev=1,sends=4,skip=2,log=34
[20260731.195053.996-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=7,n=1,mode=s,dt=26432,acq=24351,wak=49,mrq=11,drq=30,upd=7,enu=6,rem=14,dmg=816,snd=49,tot=1051,dr=1,mr=0,mrmax=0,area=2428108,win=1,iwn=0,wev=0,sends=2,skip=0,log=59
[20260731.195054.064-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=8,n=1,mode=s,dt=52148,acq=47915,wak=42,mrq=12,drq=33,upd=377,enu=10,rem=11,dmg=17351,snd=45,tot=17837,dr=1,mr=0,mrmax=0,area=2884200,win=1,iwn=1,wev=1,sends=2,skip=1,log=27
[20260731.195054.093-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=9,n=1,mode=s,dt=39264,acq=19991,wak=20,mrq=39,drq=31,upd=6,enu=2,rem=5,dmg=7072,snd=55,tot=7200,dr=2,mr=0,mrmax=0,area=59398,win=1,iwn=0,wev=0,sends=2,skip=0,log=29
[20260731.195054.109-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=10,n=1,mode=s,dt=20350,acq=4534,wak=31,mrq=53,drq=33,upd=6,enu=5,rem=6,dmg=1973,snd=45,tot=2096,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=0,wev=0,sends=2,skip=1,log=36
[20260731.195054.169-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=11,n=1,mode=s,dt=62103,acq=59684,wak=90,mrq=13,drq=34,upd=8678,enu=19,rem=18,dmg=543,snd=59,tot=9374,dr=1,mr=0,mrmax=0,area=480000,win=1,iwn=1,wev=1,sends=2,skip=0,log=25
[20260731.195054.724-2380-I] PerfEmitFrame: QGAPERF,v=2,seq=12,n=1,mode=s,dt=554915,acq=553887,wak=30,mrq=4,drq=116,upd=5,enu=5,rem=5,dmg=281,snd=39,tot=399,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=33
