[20260731.194829.504-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=1,n=1,mode=s,dt=0,acq=259,wak=4447,mrq=10,drq=74,upd=12,enu=4835,rem=10,dmg=5,snd=0,tot=4916,dr=1,mr=0,mrmax=0,area=4953600,win=0,iwn=2,wev=0,sends=0,skip=0,log=0
[20260731.194838.618-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=2,n=1,mode=s,dt=9111347,acq=2903,wak=23273,mrq=60,drq=41,upd=86,enu=49670,rem=69,dmg=400,snd=37,tot=50298,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=16,wev=13,sends=2,skip=2,log=60
[20260731.194838.630-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=3,n=1,mode=s,dt=11678,acq=10977,wak=16,mrq=10,drq=29,upd=15,enu=959,rem=11,dmg=570,snd=16,tot=1604,dr=1,mr=0,mrmax=0,area=2654820,win=1,iwn=1,wev=1,sends=2,skip=0,log=36
[20260731.194838.643-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=4,n=1,mode=s,dt=12316,acq=11465,wak=53,mrq=21,drq=26,upd=7,enu=6,rem=6,dmg=811,snd=16,tot=940,dr=2,mr=0,mrmax=0,area=2545670,win=1,iwn=0,wev=0,sends=2,skip=0,log=28
[20260731.194838.673-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=5,n=1,mode=s,dt=29917,acq=26538,wak=29,mrq=11,drq=29,upd=583,enu=10,rem=11,dmg=594,snd=39,tot=1272,dr=1,mr=0,mrmax=0,area=2445,win=1,iwn=1,wev=1,sends=2,skip=2,log=25
[20260731.194838.707-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=6,n=1,mode=s,dt=34329,acq=33254,wak=15,mrq=9,drq=102,upd=634,enu=10,rem=10,dmg=780,snd=37,tot=1508,dr=1,mr=0,mrmax=0,area=2884200,win=1,iwn=1,wev=1,sends=2,skip=1,log=25
[20260731.194838.740-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=7,n=1,mode=s,dt=32836,acq=4287,wak=35,mrq=9,drq=26,upd=6,enu=6,rem=7,dmg=756,snd=64,tot=901,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=0,wev=0,sends=4,skip=1,log=58
[20260731.194838.762-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=8,n=1,mode=s,dt=22317,acq=21236,wak=25,mrq=12,drq=33,upd=743,enu=11,rem=9,dmg=474,snd=42,tot=1316,dr=1,mr=0,mrmax=0,area=480000,win=1,iwn=1,wev=1,sends=2,skip=0,log=20
[20260731.194838.769-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=9,n=1,mode=s,dt=6832,acq=5966,wak=31,mrq=12,drq=49,upd=6,enu=5,rem=5,dmg=630,snd=44,tot=752,dr=1,mr=0,mrmax=0,area=424144,win=1,iwn=0,wev=0,sends=2,skip=0,log=23
[20260731.194839.327-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=10,n=1,mode=s,dt=558022,acq=556959,wak=39,mrq=18,drq=42,upd=6,enu=4,rem=5,dmg=709,snd=37,tot=831,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=24
[20260731.194839.860-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=11,n=1,mode=s,dt=533801,acq=532719,wak=39,mrq=10,drq=31,upd=5,enu=5,rem=6,dmg=371,snd=43,tot=502,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=23
[20260731.194840.406-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=12,n=1,mode=s,dt=546329,acq=545359,wak=60,mrq=13,drq=47,upd=9,enu=6,rem=7,dmg=663,snd=62,tot=799,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=30
[20260731.194840.947-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=13,n=1,mode=s,dt=533131,acq=531827,wak=43,mrq=14,drq=37,upd=261,enu=5773,rem=5,dmg=378,snd=43,tot=6494,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=3,wev=0,sends=2,skip=0,log=62
[20260731.194841.461-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=14,n=1,mode=s,dt=521104,acq=514346,wak=24,mrq=10,drq=29,upd=7,enu=5,rem=7,dmg=456,snd=57,tot=571,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=23
[20260731.194841.995-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=15,n=1,mode=s,dt=535271,acq=534248,wak=55,mrq=10,drq=27,upd=8,enu=6,rem=8,dmg=647,snd=56,tot=777,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=182
[20260731.194842.526-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=16,n=1,mode=s,dt=529936,acq=528871,wak=42,mrq=12,drq=27,upd=5,enu=5,rem=6,dmg=397,snd=38,tot=489,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=33
[20260731.194843.062-2820-I] PerfEmitFrame: QGAPERF,v=2,seq=17,n=1,mode=s,dt=531008,acq=530272,wak=39,mrq=9,drq=52,upd=274,enu=4920,rem=5,dmg=310,snd=39,tot=5585,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=3,wev=0,sends=2,skip=0,log=23
