Microsoft Windows [Version 10.0.19044.1288]
(c) Microsoft Corporation. All rights reserved.

C:\Windows\system32>powershell -NoProfile -Command "$l=(Get-ChildItem 'C:\Program Files\Qubes Tools\log' -Filter 'gui-agent-*.log' | Sort LastWriteTime -Desc | Select -First 1).FullName; Get-Content $l | Select-String -Pattern 'QGAPERF|PHASE' | ForEach-Object { $_.Line }"
[20260731.000447.081-4000-I] PerfInit: QGAPERF on: freq=62500000 everyN=1 qpc_cost_ns=5284 default=1 (sink 89709485777039)
[20260731.000447.081-4000-I] PerfInit: QGAPERF-HEADER v=1 fields: seq,n,mode,dt,acq,wak,mrq,drq,upd,enu,rem,dmg,snd,tot,dr,mr,mrmax,area,win,sends,skip,log (times in microseconds)
[20260731.000523.217-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=19,n=1,mode=s,dt=685353,acq=11009,wak=193,mrq=35,drq=50,upd=2239,enu=105179,rem=11,dmg=31,snd=128,tot=107643,dr=1,mr=0,mrmax=0,area=553446,win=1,sends=4,skip=6,log=148
[20260731.000523.289-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=20,n=1,mode=s,dt=111800,acq=3656,wak=34,mrq=90,drq=53,upd=1020,enu=66086,rem=22,dmg=31,snd=125,tot=67328,dr=13,mr=0,mrmax=0,area=607397,win=1,sends=6,skip=0,log=115
[20260731.000523.354-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=21,n=1,mode=s,dt=79829,acq=11313,wak=18,mrq=11,drq=69,upd=948,enu=51600,rem=6,dmg=22,snd=94,tot=52704,dr=5,mr=0,mrmax=0,area=591719,win=1,sends=4,skip=0,log=66
[20260731.000523.407-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=22,n=1,mode=s,dt=62223,acq=9186,wak=19,mrq=9,drq=21,upd=2432,enu=42314,rem=6,dmg=25,snd=102,tot=44915,dr=5,mr=0,mrmax=0,area=569466,win=1,sends=4,skip=0,log=104
[20260731.000523.457-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=23,n=1,mode=s,dt=50096,acq=4890,wak=35,mrq=13,drq=28,upd=1788,enu=41549,rem=8,dmg=28,snd=96,tot=43509,dr=5,mr=0,mrmax=0,area=567420,win=1,sends=4,skip=0,log=67
[20260731.000523.537-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=24,n=1,mode=s,dt=45439,acq=1634,wak=24,mrq=19,drq=24,upd=1346,enu=77258,rem=8,dmg=33,snd=110,tot=78798,dr=3,mr=0,mrmax=0,area=565906,win=1,sends=4,skip=0,log=70
[20260731.000523.723-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=25,n=1,mode=s,dt=83848,acq=4286,wak=101,mrq=15,drq=42,upd=3078,enu=177444,rem=5,dmg=18,snd=109,tot=180720,dr=5,mr=0,mrmax=0,area=571310,win=1,sends=4,skip=0,log=95
[20260731.000523.799-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=26,n=1,mode=s,dt=194411,acq=13340,wak=22,mrq=13,drq=37,upd=335,enu=61098,rem=7,dmg=65,snd=175,tot=61762,dr=10,mr=0,mrmax=0,area=643003,win=1,sends=12,skip=0,log=67
[20260731.000523.855-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=27,n=1,mode=s,dt=82285,acq=20160,wak=47,mrq=13,drq=34,upd=372,enu=35018,rem=4,dmg=48,snd=143,tot=35619,dr=7,mr=0,mrmax=0,area=590242,win=1,sends=10,skip=0,log=71
[20260731.000523.904-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=28,n=1,mode=s,dt=45537,acq=9635,wak=37,mrq=9,drq=24,upd=806,enu=38296,rem=5,dmg=48,snd=103,tot=39291,dr=3,mr=0,mrmax=0,area=569284,win=1,sends=6,skip=0,log=65
[20260731.000523.957-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=29,n=1,mode=s,dt=48674,acq=9020,wak=55,mrq=21,drq=35,upd=3621,enu=38888,rem=7,dmg=19,snd=110,tot=42689,dr=1,mr=0,mrmax=0,area=559088,win=1,sends=4,skip=0,log=71
[20260731.000524.018-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=30,n=1,mode=s,dt=58806,acq=15818,wak=54,mrq=18,drq=35,upd=334,enu=47325,rem=4,dmg=51,snd=136,tot=47886,dr=7,mr=0,mrmax=0,area=578863,win=1,sends=10,skip=0,log=69
[20260731.000524.071-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=31,n=1,mode=s,dt=63068,acq=14697,wak=58,mrq=28,drq=103,upd=303,enu=35030,rem=6,dmg=51,snd=162,tot=35590,dr=5,mr=0,mrmax=0,area=575499,win=1,sends=8,skip=0,log=170
