elapsed_s,cputime_ns,delta_cores,qrexec
20,69106668583,1.99,down
55,138037636120,1.97,down
90,206751755445,1.96,down
125,275676889026,1.97,down
160,344626028601,1.97,down
195,413521472143,1.97,down
230,482051522983,1.96,down
265,551759248319,1.99,down
300,621151176632,1.98,down
