elapsed_s,cputime_ns,delta_cores,qrexec
20,7727565401,0.39,down
56,34190498471,0.74,down
91,36251985560,0.06,down
126,37998974710,0.05,down
161,39914596764,0.05,down
196,41611145988,0.05,down
231,43285879279,0.05,down
266,44937246778,0.05,down
301,46538107961,0.05,down
336,48217834638,0.05,down
371,49769616998,0.04,down
406,51359220108,0.05,down
441,53039463823,0.05,down
476,54570510146,0.04,down
511,56153680404,0.05,down
546,57732201225,0.05,down
581,59419759949,0.05,down
616,61075027383,0.05,down
651,62758550141,0.05,down
686,64365012365,0.05,down
721,65979311808,0.05,down
756,67574629417,0.05,down
791,69079993314,0.04,down
826,70657537303,0.05,down
861,72369653875,0.05,down
896,73997662979,0.05,down
931,75598093646,0.05,down
