elapsed_s,cputime_ns,delta_cores,qrexec
20,68569624802,2.54,down
40,79976860892,0.57,down
60,87566279635,0.38,down
80,89129437675,0.08,down
100,90749745010,0.08,down
120,107086057178,0.82,down
140,115087160025,0.40,down
160,116144855418,0.05,down
180,117357758074,0.06,down
200,118049228194,0.03,down
220,118902063373,0.04,down
241,132735010277,0.66,down
261,135484179984,0.14,down
281,136253313734,0.04,down
301,137062044968,0.04,down
