elapsed_s,cputime_ns,delta_cores,qrexec
20,72462788818,1.90,down
55,141924600910,1.98,down
90,210165397362,1.95,down
125,278520019521,1.95,down
160,348131538672,1.99,down
195,416409617969,1.95,down
