elapsed_s,cputime_ns,delta_cores,qrexec
20,126843506101,1.96,down
55,196438133223,1.99,down
91,265458157691,1.92,down
126,334760679179,1.98,down
161,404054374760,1.98,down
196,473378501060,1.98,down
231,542679421758,1.98,down
266,612006339694,1.98,down
