elapsed_s,cputime_ns,delta_cores,qrexec
20,102618090301,1.98,down
55,171620321200,1.97,down
90,241068795004,1.98,down
125,310468643906,1.98,down
160,378871901188,1.95,down
195,446436142999,1.93,down
231,514410510756,1.89,down
266,583034105967,1.96,down
