elapsed_s,cputime_ns,delta_cores,qrexec
20,91919490778,2.56,down
40,129610729629,1.88,down
60,158726966116,1.46,down
80,185083401951,1.32,down
101,218722169116,1.60,down
121,0,-10.94,down
145,18202019038,0.76,down
165,60646741936,2.12,down
185,98990643231,1.92,down
206,144173209771,2.15,up
