elapsed_s,cputime_ns,delta_cores,qrexec
20,80648066326,2.00,down
55,150758651849,2.00,down
90,217997213451,1.92,down
125,283344575281,1.87,down
160,351767450487,1.95,down
195,421335736981,1.99,down
230,490541537619,1.98,down
266,559271642085,1.91,down
